WO,Line,Percent Complete*
17340,20,100
17341,20,100
17348,20,100
17352,20,100
17356,20,100
17357,20,100
17358,20,100
17362,20,100
17363,20,100
17364,20,100
17365,20,100
17366,20,100
17367,20,100
17368,20,100
17369,20,100
17370,20,100
17371,20,100
17372,20,100
17376,20,100
17377,20,100
17378,20,100
17380,20,5
17381,20,100
17382,20,100
17383,20,100
17384,20,100
17385,20,100
17386,20,100
17387,20,70
17393,20,100
17394,20,100
17395,20,100
17397,20,100
17398,20,45
17399,20,55
17406,20,60
17415,20,100
17416,20,100
17418,20,50
17421,20,100
17461,20,100
17462,20,100
17463,20,100
17469,20,100
17475,20,100
17476,20,100
17477,20,100
17478,20,100
17479,20,100
17480,20,100
17481,20,100
17482,20,100
17483,20,100
17484,20,100
17485,20,100
17486,20,100
14716,25,100
14786,25,100
16599,25,100
16735,25,100
16736,25,90
16737,25,100
16738,25,100
16740,25,100
17199,25,100
17234,25,100
17235,25,100
17236,25,100
17237,25,100
17238,25,100
17239,25,100
17240,25,100
17241,25,100
17271,25,100
17385,25,100
17387,25,100
17271,26,100
17271,27,100
14786,28,100
14518,30,95
14580,30,100
14582,30,100
14656,30,63
14657,30,100
14662,30,100
14691,30,100
14695,30,100
14696,30,100
14697,30,100
14698,30,100
14699,30,100
14700,30,100
14701,30,50
14706,30,100
14722,30,100
14735,30,100
14736,30,100
14782,30,100
14786,30,85
14787,30,100
14788,30,100
14789,30,100
14790,30,100
14791,30,100
14792,30,100
14793,30,100
14794,30,100
14795,30,100
14798,30,100
14800,30,100
14801,30,100
14802,30,100
14806,30,100
14807,30,100
14811,30,100
14812,30,100
14813,30,100
14823,30,100
14827,30,59
14829,30,100
14830,30,100
14831,30,100
14832,30,100
14834,30,100
14835,30,100
14836,30,100
14837,30,100
14843,30,100
14848,30,100
14862,30,100
14878,30,100
14879,30,100
14880,30,100
14881,30,100
14883,30,100
14884,30,100
14885,30,100
14886,30,100
14887,30,100
14888,30,100
14889,30,100
14890,30,100
14891,30,100
14892,30,100
14893,30,100
14894,30,100
14902,30,100
14903,30,100
14907,30,100
14908,30,100
14909,30,40
14911,30,100
14914,30,100
14915,30,100
15070,30,100
15071,30,100
15080,30,75
15081,30,30
15083,30,45
15087,30,100
15088,30,100
15094,30,100
15095,30,100
15096,30,100
15097,30,100
15099,30,100
15100,30,100
15101,30,100
15102,30,100
15104,30,100
15105,30,100
15106,30,100
15107,30,100
15109,30,100
15110,30,100
15111,30,100
15112,30,100
15115,30,100
15120,30,100
15129,30,100
15137,30,65
15138,30,10
15140,30,30
15150,30,100
15179,30,100
15180,30,100
15182,30,100
15184,30,100
15196,30,100
15284,30,100
15287,30,30
15289,30,100
15495,30,100
15496,30,100
15497,30,100
15498,30,100
15499,30,100
15500,30,100
15501,30,100
15502,30,100
15503,30,100
15504,30,100
15505,30,100
15506,30,100
15507,30,75
15508,30,100
15509,30,100
15510,30,100
15511,30,100
15512,30,100
15843,30,80
15845,30,90
15846,30,80
15847,30,90
15848,30,100
15884,30,100
15921,30,100
15938,30,100
15939,30,100
16197,30,100
16230,30,100
16302,30,90
16304,30,100
16328,30,90
16365,30,75
16366,30,90
16373,30,100
16396,30,100
16416,30,100
16428,30,75
16435,30,100
16436,30,100
16437,30,100
16438,30,100
16439,30,100
16440,30,100
16454,30,100
16455,30,100
16456,30,100
16457,30,100
16458,30,98
16459,30,100
16461,30,100
16492,30,100
16500,30,100
16501,30,100
16528,30,60
16531,30,100
16532,30,100
16533,30,100
16534,30,100
16536,30,100
16537,30,100
16546,30,100
16569,30,100
16585,30,100
16586,30,100
16589,30,100
16599,30,100
16604,30,100
16605,30,100
16612,30,100
16617,30,100
16627,30,100
16628,30,100
16633,30,100
16634,30,100
16635,30,100
16636,30,100
16637,30,100
16638,30,100
16640,30,100
16642,30,100
16643,30,100
16644,30,100
16652,30,100
16662,30,100
16663,30,100
16664,30,100
16665,30,100
16666,30,100
16670,30,100
16672,30,100
16673,30,100
16674,30,100
16677,30,100
16680,30,100
16681,30,100
16682,30,100
16683,30,100
16703,30,100
16705,30,100
16706,30,100
16709,30,100
16710,30,100
16711,30,100
16730,30,100
16733,30,100
16734,30,100
16735,30,100
16736,30,100
16737,30,100
16738,30,100
16739,30,100
16740,30,100
16745,30,100
16788,30,100
16789,30,100
16790,30,100
16791,30,100
16792,30,100
16811,30,100
16835,30,35
16836,30,100
16848,30,100
16852,30,100
16854,30,100
16859,30,100
16893,30,100
16894,30,100
16901,30,100
16902,30,100
16905,30,95
16926,30,100
16927,30,100
16928,30,100
16929,30,100
16930,30,100
16931,30,100
16932,30,100
16933,30,100
16934,30,100
16938,30,100
16944,30,100
16954,30,35
16958,30,100
16959,30,50
16962,30,100
16966,30,80
16975,30,100
16978,30,100
16988,30,100
17023,30,90
17028,30,75
17051,30,100
17052,30,100
17053,30,100
17054,30,100
17058,30,100
17059,30,100
17060,30,100
17063,30,100
17068,30,100
17074,30,100
17075,30,100
17076,30,95
17078,30,100
17080,30,100
17081,30,100
17082,30,100
17091,30,100
17092,30,100
17112,30,100
17114,30,100
17117,30,100
17120,30,100
17121,30,100
17122,30,100
17123,30,100
17126,30,100
17127,30,100
17129,30,100
17130,30,100
17131,30,100
17139,30,100
17141,30,100
17143,30,100
17152,30,100
17158,30,100
17159,30,100
17160,30,100
17161,30,100
17163,30,100
17170,30,100
17172,30,100
17173,30,40
17174,30,100
17177,30,100
17179,30,100
17184,30,100
17185,30,100
17186,30,100
17187,30,100
17188,30,100
17190,30,100
17191,30,100
17193,30,100
17198,30,100
17199,30,100
17200,30,100
